卡号,信用额度,是否逾期,持卡时长
3728197491972059,26639,是,11
4885402153301642,31455,否,18
3531325666930532,78331,是,11
6935579483737105,10682,是,12
4863061296883318,21796,否,2
3461274225010615,90171,是,1
1687505343325623,4060,是,5
5510330174402566,92016,否,2
3592184971412555,52909,是,14
2110672403793572,16769,否,15
1078035348317054,2526,否,14
3678322466022977,23134,是,15
4575218958099123,32631,是,10
6164380353304073,86792,否,17
6845087531491008,39022,否,20
9599711245234107,59653,否,18
4482835481862524,61821,否,8
8108507578056190,85754,是,1
0902076422098882,88825,否,17
0093809803927044,5795,是,7
7598477602811313,56748,是,20
9941575867957915,58533,否,15
4698196308705088,63441,否,19
5076521021101383,28663,否,19
1179372614555910,7849,是,7
7478453861130856,1604,是,6
4997392162231037,31404,否,2
7558751199057045,14456,否,13
8714411758164195,43342,否,19
8376066930912904,67738,否,8
4506523322628547,17770,是,12
7351855784239922,5591,是,8
8254243732948212,28139,否,10
4850740582433664,64710,否,4
1085169493669480,15194,是,15
0527585263053034,57980,否,12
5150573564515185,81775,否,2
8833967503073866,13921,否,3
9510843894402555,38774,是,20
1475660985820972,21529,否,13
9875389305578715,65611,否,6
1364505706331665,12552,是,13
7597538633709772,90959,否,12
5078436496969253,22588,否,1
4794095079948315,98853,否,13
2653948357604391,93641,是,19
0928577638625602,29489,是,2
9139593857074231,28324,否,18
2570734836755872,93187,是,3
6151657669212640,6576,否,11
2706325871939444,22361,是,15
0794194391582748,4253,否,12
8948460243852116,19454,否,2
3109595827120169,77388,否,20
1765910995267262,66733,否,13
8668480864255343,29134,是,3
1174166586721548,27392,是,12
1191985748177195,3883,否,15
4435225980544228,36789,是,17
2200710045671910,1689,是,20
9211296076671230,55474,否,19
0563571296811097,2893,是,11
6597820048129769,73713,否,11
3529749053670321,31915,否,4
5036614157873080,13040,否,15
3968357471768926,41900,否,16
0100417958265909,18127,是,18
4335769211819018,94880,否,15
1773793081610419,90766,是,6
7552910027975817,40006,否,9
8169190208458725,32815,是,7
3083302608436908,87090,否,13
5866339574528119,12436,是,13
4558627831607600,90072,是,14
6458065255578469,84797,否,13
8856451244155359,22622,否,19
6187367068672073,45207,否,10
1250105849692638,7739,是,5
2855971118714518,40259,否,17
7535646460316698,28256,是,13
6490507234731061,1368,否,11
6767517847338590,14169,否,9
6867941644323388,43867,否,4
2073230652734122,50538,否,9
3040041662071031,57461,是,2
7385863091064235,73047,是,6
5937582697447642,30346,否,7
8475504509887878,69493,否,9
2997231347508525,5287,是,4
7179014331239865,78361,否,17
3371854857504507,47097,是,20
7743693214961024,39063,是,16
0998520632053719,92076,否,18
7437262865726235,77126,否,6
1638429030975096,16881,是,15
3478831296598284,78757,是,3
4724925613085152,69361,否,14
2978892596635885,31507,是,6
2750097566120016,40582,是,5
6231844739574407,9726,否,15
4351313980092582,58089,是,3
2462384766718106,95706,是,6
0999486387492891,64091,否,17
2045084844872151,77445,否,16
1742795554681489,15639,是,14
1514604045024839,4886,是,12
3147813508913033,35847,是,6
1573694528853835,84100,是,17
8557090340773405,2090,是,10
8223484338069272,38862,否,6
5536709200812275,56497,是,6
5253894073179132,42986,否,6
2986323489952764,8042,是,16
5617465224335299,48936,是,16
9039164249450573,21961,否,1
4328931802573060,71367,否,8
3877532078187248,55267,是,9
2465628183768706,33659,是,7
5489312132619570,48541,否,7
3788440807215182,84483,是,18
9910973912628020,70667,否,4
8522638695901444,29716,是,20
7922869093153417,15643,否,5
6246971921362309,59947,是,7
7455534814314815,35229,否,2
5949227688413686,72666,否,8
4362666009548231,42682,是,17
5829821545641513,41471,是,15
5744744516054172,40762,是,15
7123159160492757,52639,否,12
7116436456612390,18724,否,12
5186326435221423,87793,否,5
0024915652459523,94854,否,6
8599111644050751,72670,否,4
1415924005888721,97462,否,13
9019902621597950,72816,是,2
1384311144492052,14357,是,11
5789305802648005,54258,是,19
6496437120755570,13791,是,18
0979315113571290,14978,是,6
2754705164696371,42273,是,5
2838801945940971,87637,是,19
6627086017244246,40202,是,20
1274954578499899,24440,是,19
3274426029457207,85961,否,4
8590765772921312,55507,是,20
5206240890539969,11258,否,15
8483652162490008,75158,否,12
0674911576249294,43869,否,1
5562608429063268,99456,否,3
0016654856915642,93215,是,9
3379850830731610,78544,否,17
9383396495538084,87548,否,9
9231314695584134,72735,是,11
8518047454834616,40457,否,15
3772209398354834,30906,是,14
7440114689918899,40741,是,5
7307818160087140,55771,是,10
2889095298782466,83324,否,12
4803418201147557,14324,是,8
1205033173981042,73196,否,18
7150449723713129,9029,否,16
0804437675059345,95095,否,16
9571335606668030,6005,是,3
1195716467325250,32788,是,11
0814250234785737,69797,否,20
3673189595328031,25222,是,11
6069701342001897,17720,否,10
5560585061321244,91241,否,4
4175894863668257,59192,否,16
0380571202575143,12843,是,17
8843184652771759,21709,是,16
9812901179097065,78477,是,5
4206381670800685,56643,否,8
6582572986168420,73255,否,17
2786828838276113,96310,否,15
6500618459762577,86559,否,19
4246268775665912,60497,否,8
4658099037849850,78308,是,10
6356747215776846,98235,否,1
6067921718768764,70643,是,13
3661028560532196,20842,是,12
5278781181617816,24068,是,4
8995482874573835,84048,是,3
5719681451892294,34471,否,1
9990276340169405,51682,否,14
1950102530741869,4558,否,10
2631993835817867,63674,是,9
2002793551634925,9101,是,2
2784669523893264,72910,否,5
9222205430586724,86196,是,10
7054693013100310,93896,是,6
9643491079313719,31100,否,4
3163920496520991,94833,否,5
1918804883190978,69965,是,13
0239104075223002,60793,否,3
1957035211174300,27287,是,8
7457456896588136,60585,否,9
6674332500224707,97954,否,16
6955098933547716,96004,是,20
6388490592714434,54860,是,9
4133242810071445,96478,否,18
0319137250791329,51834,是,9
8576849879801976,97459,否,15
8359779168349166,56633,是,13
5150752734918485,36392,是,6
1436036094182195,41085,是,6
8555492966666925,36751,是,20
7599003235233585,7865,是,16
8605028027013079,80445,否,10
8860919884656417,81188,否,17
3591743318711088,33331,是,16
3692267822361382,22435,否,20
5519062627644504,65464,是,4
6596146708626117,80547,是,6
3762144457046316,46397,否,17
8321592892386571,56797,是,3
1778414264002675,4041,是,7
7414231098899354,31622,是,6
9285659579338680,30989,是,14
0113094007430543,36494,是,12
0246392773760329,28417,否,10
1221313277875986,90480,是,18
2419500403167617,27530,否,12
8555675342082680,2252,是,7
0291176226410603,87614,否,17
3086254668857914,89285,否,7
3739670946122497,97469,是,7
6118794247660836,89138,是,3
7240088871018039,34273,是,12
6520980179137344,69019,是,10
1365429318630287,39305,是,19
6813170282209838,96598,否,6
9875686192213637,55477,否,13
9414825304516345,7986,否,13
9825312955683054,26701,否,16
8655366055821733,92026,否,20
2180377825468042,43519,否,20
6271525827249900,61907,是,4
9911919689394974,18471,否,2
2375660819268610,90814,否,6
0991659692015507,36159,是,16
4542177790046977,89398,否,5
6785462825130748,5746,否,4
4032264416616901,34853,是,13
5643218806185475,89179,是,18
0761751739556875,91810,是,11
7681375853839140,79064,否,9
4512384013408447,65341,否,7
1843959618284579,71740,否,20
4893306040840739,94347,否,13
7002340927975675,29316,否,20
9917806123103276,78539,是,12
4868489095767030,95959,否,17
1339542367038929,43424,是,18
4191608250276199,57689,否,19
9018999661042784,35770,是,8
4647611466770972,23101,否,2
0759144976492721,34296,否,11
5896658166900046,26657,否,9
3276896349258464,4077,否,7
6664617093982838,14299,是,18
8691565519453392,19617,是,2
7677662779537376,90781,否,20
5516015782767690,95097,否,18
3426115873494210,92537,否,9
6929185158013677,96800,否,20
1048941710268034,50044,否,8
8666880740922375,6103,否,11
9981009050481921,47224,是,10
2746628953838632,33936,是,14
5253164216882377,58811,否,19
5241275411573245,81666,否,8
0734972883486799,16649,是,5
9513467996079490,56820,否,2
7200128832304338,14674,是,18
5880936144154287,56789,否,6
0238981705258649,1753,否,3
6805280837493564,86781,是,3
6460737110170781,87955,是,15
0970451352404050,79816,否,3
2589783359981281,70367,否,6
9881311170965226,23321,是,11
7787378244535884,54153,是,11
7641313156002544,94183,是,6
5902008730905695,69244,是,1
7408008871817228,74096,是,6
8842750393433192,43154,是,2
8916522374403899,50094,是,20
9305047744935545,93125,否,8
6752922441241090,23515,是,15
1562309884586329,95472,否,1
7702731224787085,45857,否,5
1236524607676533,14783,否,4
7335121490392843,74490,是,3
3919896498371397,84443,是,17
4944200265288731,12662,否,12
2727465486698752,75398,否,5
3936612932000386,45277,否,4
6051709424395375,32674,否,14
3627156677541234,73860,否,11
0239773506054242,28184,是,14
2407638689161716,21435,否,19
7733341867147563,87646,是,16
8598761665231345,30761,是,19
5873337232600413,93090,是,15
3967039845777400,20466,否,2
5864477074499516,17955,是,13
7447713533609395,66211,是,3
0241857605077597,75186,是,6
6293931439942681,29017,是,9
2827771258025282,86127,否,5
4922945321762090,47828,否,1
7907305466966802,41731,是,15
3303917180178908,66403,否,5
7491093684922258,20572,是,9
7110273192537088,5490,否,11
1827751682252528,98269,否,14
4946514297767400,21446,否,18
9789772592749934,22326,是,13
9137873045451540,93203,是,15
9496921627581558,17363,是,6
3315457697826549,17968,否,18
6748415071343800,77981,否,6
8665588609202562,30355,是,11
5737263276485688,78488,是,3
0589747662749575,76024,否,2
1600416403897816,86075,是,15
4308205079625608,37338,否,8
6516511208725879,46232,否,6
2869180103015854,27579,否,17
8491901645771978,34089,是,18
0073391654059751,89366,否,13
0234780158701045,91181,否,5
8978543202192204,53299,是,6
7167138924520312,19425,否,18
9892488473645980,62342,否,5
3602875751474741,13902,是,8
7632757356094311,61737,是,1
4259855739172740,60759,否,10
7773802830550205,26219,否,15
5985215217039492,86676,是,14
4244017917258300,72694,否,9
3090766949233087,76478,是,16
3966036394695109,94212,否,10
0408063006541765,41851,是,5
2248470352701570,19814,否,2
7741281872302299,68510,是,17
9364446702053939,97667,否,7
9953813547183720,44431,否,12
6389765029766083,77416,否,7
4261211407115205,13576,否,18
7809086720420109,21634,是,12
2127361168546941,57123,否,1
1523029798717391,35997,否,2
8894108501899519,9573,否,15
9247943830370355,97609,否,13
2460562938304326,3168,否,19
8580997046455552,54322,否,8
9085840051107200,3780,否,4
9423598683054507,50423,是,19
7384881095599188,18713,是,11
0429473304974440,32951,否,19
2627141736573300,37660,否,9
9953152891664205,41351,否,1
1072493929263280,46490,否,8
6860384062747649,72627,否,6
7030560289317546,78679,是,2
4496748515765209,53490,否,15
8221750501796079,78928,否,5
3689161410071873,13036,否,4
8718664663891428,50957,否,18
1137563984111608,95059,否,13
0841812005802177,42551,是,7
3168626179512430,22010,是,16
8774318897898040,40528,是,8
6596099197971766,10940,否,14
1308375261415039,56142,是,13
2660633967977810,71325,否,16
9540454178615320,23328,是,9
2327543098303078,43109,否,18
4735947750939055,86647,是,5
1729251027064600,32100,否,15
1748296145144628,44325,否,3
3649952973286418,9795,否,12
5660106300664975,24033,是,4
6112610188586119,73038,是,2
6779124573926165,30898,是,20
3032774362840778,11902,是,11
5413128004595967,63882,否,16
1856156438699046,86763,否,16
3089467554332855,3014,否,15
7337580916706213,58901,是,15
5861083477841495,71482,是,1
3844986266266671,99569,是,8
9917591846136912,24747,是,11
7333564138841902,9581,是,1
5322313633956981,32971,是,3
1284620521705890,48384,是,6
0777656353080117,96272,否,11
2285766757490870,69908,是,6
2507134855091780,17845,否,17
6517040236954941,35087,是,4
1159745510529255,23779,是,11
7998899559372033,20147,是,8
3612431599267200,21563,否,3
1523325792340053,72935,否,1
6154095125274912,53563,否,13
8060769134610882,63796,是,5
0425319393954011,72907,是,10
9133810704255758,79241,否,12
3801282041774510,69051,是,8
2551593918848125,21063,否,18
2406088834419101,76912,是,13
0849102177029700,5000,是,9
6952678040917695,23665,否,11
7542594958792849,39316,是,10
2526296922244815,48081,否,18
1712749738861566,82054,是,11
3664847100287662,37767,是,7
3127424446880715,1518,否,18
8628208459448144,19109,是,14
4536445091409360,8293,是,11
4201659310599841,74473,是,20
9953250313458314,33322,否,12
2546061840146404,18075,否,16
3386837117725092,13853,是,2
1320829438470241,50006,否,5
9841957912199102,97960,否,3
4421342530207891,30879,否,18
9450243087124262,87142,是,19
7223573518101022,66910,否,5
5054302888641016,26592,否,13
2817084876644429,69464,是,13
0642143975518033,47407,否,6
0568986925659890,65707,否,5
8652475820381637,45074,否,8
4429050037700793,63842,是,18
1449317382415120,19765,否,20
3285584483206126,55433,否,7
8259513380489395,56469,否,14
8208582778477977,67276,否,6
6900392866455936,52505,是,11
1240840909437542,91002,是,11
4529605340965565,57677,否,5
3597137048159683,38511,否,19
6904312942969155,41364,否,9
8312115883985522,67653,是,11
9763922561057238,12553,是,19
0239588687498340,50859,是,14
0060789756454618,10917,是,6
6504814431060919,54700,否,14
3885828555153959,35138,否,5
7352288978971260,7436,是,10
1500583219970281,71276,是,5
7807155093637837,10519,是,19
9751777192949319,19483,否,13
2306232634718161,58178,否,20
6446327676377429,39301,否,9
9888150524714959,29067,否,2
2828702537153372,23653,否,4
4299440134564365,95182,是,11
5609477047072569,22008,否,7
5887217147976650,76246,否,4
5794832298686413,49534,否,1
5082096894538234,44480,否,7
1985842981753644,65415,否,11
8565375784780383,46018,是,18
9348412513882451,89673,是,17
3173944638984246,61773,否,19
2258553277390848,46139,否,5
9450562431115232,6752,否,8
9136138787217451,46670,否,19
1448361608803725,99459,是,1
7305874696711940,10555,是,1
3252888655174484,66262,是,7
4253306300784457,52394,是,11
3440292807081939,64696,否,11
4466699025054227,66778,是,5
0037134370725155,69932,是,16
0171260434267788,33013,否,20
9969596643274996,24448,否,2
6314228299017099,82620,否,15
7047862890521748,36400,是,14
0690141423958180,13532,是,12
1209914391429691,27570,否,2
2416946332337044,69444,否,1
2091765356561339,68751,是,4
0112492516400162,39260,是,19
9072590769550872,79533,是,15
7484500130629467,91040,是,3
8304667836149961,48440,否,7
6398808728380146,96924,否,7
6326973632119856,40116,是,5
6505078182707045,74908,否,9
3412773410094275,69040,是,14
0219614329243261,29952,是,6
2479662951122202,80619,否,16
5632358092168984,26208,是,10
4217255789169323,47378,否,6
0185305145417665,23229,是,10
1773706335633678,33135,否,3
2892930782070714,97244,是,14
4093133100194464,75923,否,13
4275515932494508,20227,是,20
3530966755809120,3137,是,20
4808732623200568,90476,否,17
2401869912211053,71953,否,13
2824122450851624,73580,否,4
9633328805248311,24168,是,5
5806369102854193,2422,是,6
4821937172543282,23038,是,14
1225988007727957,5874,是,20
4370025275306241,38929,否,18
8889872030183517,68463,否,7
0332547591710261,62394,否,10
6402872516304724,98491,是,7
3541157841536145,40476,否,5
0331181816900186,47943,是,18
4913500761691714,40527,是,2
8873021622160979,87680,是,16
9617316655037522,38719,否,17
2642873956320334,47183,是,8
0557252504055553,7324,是,19
4523608144240793,17602,是,2
0913111779507629,55225,是,1
5199920494401035,87451,否,3
0426868361176684,57160,否,16
3115188048292473,94433,是,20
5905850184056324,43465,否,17
4864199117130666,86739,否,2
1280257778025787,24704,是,6
6457127539985769,71853,是,16
2230804750850507,96549,是,18
6381899328465382,98298,是,10
8930505395358608,81790,是,8
1833910257585343,90669,否,8
5068025528266924,62469,否,3
7268797107421424,18126,是,13
0847614349633559,22948,是,3
8874389040124043,47802,否,5
8272618028646041,55405,否,1
4343545938992738,21372,否,14
6838453077764185,10699,否,8
6269953036741507,37403,否,6
7381599926436666,23288,是,19
6671880655350195,54572,是,11
3436569227230305,63504,否,20
0355510606263683,42347,否,17
4250246849698624,18286,是,14
9951322631812074,6594,否,15
2235331182910784,94143,是,2
9304020261396171,89574,是,11
8067625149058439,34087,否,14
7331721309384667,85446,否,15
1187104922299728,3122,否,2
9992980941870819,40373,是,19
3299272646964393,36360,是,2
3431576620519708,50070,否,20
5510223083821718,27006,否,18
3789797494575823,32882,否,7
4456529811478736,37457,否,9
3182789855873619,52846,是,20
1255125849246843,33110,否,18
1031757056225913,72836,否,10
3591471141468709,19230,否,2
9949528018780952,63996,是,13
7660686533668410,20956,否,12
3357681677590646,95324,是,20
3718188550852443,5373,是,10
4352321203050131,37009,否,16
2173319323815902,35646,是,15
4287181960609614,79348,否,15
1054232204483477,33006,是,4
1262494491145194,24072,否,20
8172848773168444,9451,是,14
2679663396493994,72426,是,2
6321241579954047,54820,否,19
7985107577314891,39025,是,20
0338939304286536,44579,是,11
1830435476476602,92746,是,19
8921392188952060,55558,是,16
6393141813115136,25317,否,18
9241066939446922,93942,否,2
8829652198643961,37550,否,11
9474522698245234,48094,是,17
3250810750975097,62865,是,2
8665410744563833,58504,否,18
0913808199387053,30124,是,3
4755003320815132,11606,否,15
0981275127220739,35505,否,1
3670589415964278,35042,是,17
5072251569436877,81132,否,13
4141788341262136,35788,是,13
0888245354868581,7964,是,19
1476516169741376,36521,否,20
7453890646581605,24581,否,18
1877059143852683,34425,否,11
4249881103100067,51582,是,18
4770198832306550,36639,否,15
0143945843523258,9303,是,18
8745803482754492,47677,否,12
0157453891527582,30877,否,3
7418616218596200,13907,是,4
2015738115243790,28687,是,14
9115425750225299,33426,否,14
4463517870233997,42258,否,11
9101714661800808,73244,是,2
7206285137447536,64987,是,16
1326617441535840,10938,是,11
1711320116323519,88070,否,18
1652388734081812,19077,否,18
2555278560903483,3815,否,4
1806865894162808,71072,是,7
6059513817109544,61362,否,15
7663978607550972,38361,否,4
9527522049936435,61934,是,17
6308719206931600,54987,否,2
3094198509300671,70107,是,9
5974448479696155,36797,否,2
9161118268426294,93863,是,2
2799451036157627,58415,否,2
4490982434008553,96014,否,15
1767746920101073,14078,是,10
2504442477589775,40435,否,14
6955854408039422,85171,否,2
7845631229420086,34738,是,6
4736882876019759,52713,否,17
5304938214593804,10772,是,15
8358105906568378,67206,是,4
7753308057735498,3003,是,17
2749803783699628,40506,是,17
1368980491137913,27102,是,9
3446176106733507,55352,是,13
3003885159691469,91868,是,19
0990153453516308,35672,是,10
5779656619892029,65361,否,19
1910730301624062,13037,是,2
7569551411781742,24576,是,20
1163411885962479,29680,否,7
8738930794221602,58279,是,19
7740184969881370,46101,否,2
4950845037394619,47336,否,1
2715206061474730,69878,是,13
0116855810033408,72838,是,7
8901078634473476,35838,是,15
6837271036595893,14049,是,20
2557271272198074,88866,否,7
6152146014757947,40916,是,1
6527025514994588,99052,否,18
0884933576300994,74464,是,4
4331391557320062,8865,否,19
2757067818856157,71878,是,2
7032899879458024,7708,否,11
5123631435999673,98998,是,17
4848766498152522,65837,否,4
5829815171295688,91535,是,19
6238887192804645,55968,是,18
0590299519857464,10823,否,6
1429260264251624,4113,是,15
4168644540321871,41569,是,4
9592467739214355,28967,否,11
0224108763137380,54799,是,18
5817767730917771,79314,是,2
5548469231850005,10461,否,2
3104431008878056,8117,否,13
0237335639270783,48028,是,17
7189545298078948,7839,是,7
6120798213750865,39461,否,7
7813985368377719,65484,否,20
1992635851851506,23885,否,7
2663189474420451,41013,是,11
9847588796588317,42838,否,5
2075408960027441,47109,是,15
0636786010195143,44041,否,5
0016395032787435,46707,是,14
5104077344755862,83704,否,19
2414261715997814,98845,是,4
6947426393692217,18947,否,5
3816793932535896,73635,是,11
2804863869886599,89882,否,7
5645803855018199,34238,否,17
8507011174185097,40633,是,12
4000022760806150,56528,是,11
5706708661576989,20887,是,15
7095228555543596,77691,是,15
1380665004917945,12634,否,4
7698153819868753,85288,否,3
0589219954916038,29180,否,4
0947399059651530,34475,是,18
3005583625119627,4662,是,17
7278737020804664,81522,是,12
4851288319812335,17715,是,5
1678853061607914,43641,否,16
4110340824605927,25851,是,7
8675426915116778,89607,是,17
5809307058273843,19535,是,9
1304588956048686,73911,是,9
8257895769717547,51595,否,6
4214130249388536,18692,否,4
0277590235710072,24077,否,11
9598684584920958,50140,否,7
9850935428176084,19289,是,19
4995585185202605,15818,是,3
8244554131721751,33244,否,15
6741014966347872,68237,是,16
3754746878218066,11890,否,6
2150100864141425,98230,是,8
7987082613452966,64291,否,13
1879045848735070,50693,是,2
7992859249049719,48720,否,19
7855678941170236,14929,是,2
9607444580237506,36043,否,5
7863997943367754,14872,是,6
1987838828191015,55177,是,17
4360882539355915,1016,是,10
6186221885914342,41591,是,19
3598235190630235,63883,是,9
4136896353898204,67012,是,15
6150491104721248,30083,是,16
0722162564335743,13494,是,20
8120958737845591,31118,是,11
8053766770803196,96365,是,20
7533141262642654,54665,否,2
4628686771685030,36807,是,2
0166014381932479,91410,否,3
5348975436216860,30103,否,19
2926102268370817,27240,是,15
4274213465497699,45156,是,8
3849202981993153,28260,否,8
7081542701803384,43335,是,19
5389467259078554,82197,否,6
6874469296900833,86916,否,12
0996521070897608,79293,否,12
1704409136967178,83454,否,9
7128685896448288,70644,否,7
1942738575530769,59960,是,16
6340762229677772,59871,是,20
2971950978537158,43490,是,16
3246553104320205,26326,是,5
1940507507452125,81447,否,11
1041363801821669,42545,是,13
7425049408639661,47184,否,17
1675034958342356,75809,否,3
0530487698611238,12660,否,11
9280647466691595,64879,是,7
4828974149849723,78065,否,10
0241009794031908,23855,是,20
4264258502953596,52698,否,16
4179593778402896,36939,否,4
0240029584812980,2390,是,11
9914517416781749,10776,否,3
2081287546657345,1209,是,8
1422701783121908,39127,是,3
4373078572671643,89109,否,3
6752298018596790,50662,否,11
0850857036209329,50817,否,1
3760618721844765,56985,否,4
7187940917234444,39184,是,14
0966397549065714,94836,是,6
1551837829290135,97187,是,10
5678481325533156,59812,否,19
9060439416683247,52733,否,11
4345386639290856,39949,是,2
9996097366247355,18540,否,15
7416002822915160,72407,是,19
7647578254589306,44740,否,2
0781625437173907,34643,是,19
3941551096654895,44350,否,19
6881649113544785,11143,否,15
6118582916002855,97096,否,8
0304800162807257,84983,否,14
4713903397205664,74615,是,3
4040683645660062,77083,否,8
1730009188648959,88541,否,14
