Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Daniel Bartlett,45,6749.49,0,5.88,14,2006-8-19 17:13,"353 Gregory Spur Mariaburgh, KY 66125",Owens Group,1
Cheyenne Rogers,36,6447.99,1,5.52,11,2009-5-7 22:19,"58379 Amber Knoll Blackburgh, MH 69646-4368",Evans LLC,1
Seth Lopez,44,11091.21,0,5.9,10,2007-7-10 15:33,Unit 2311 Box 4695 DPO AA 98374,Hodges LLC,1
Brittany Hopkins,55,5024.52,0,8.11,9,2010-2-10 10:22,"2529 King Knoll Apt. 210 Michelleshire, NH 14266",Dixon-Love,1
Carla Patterson,58,12376.37,0,6.01,12,2007-12-8 8:05,"350 Gregory Isle South Tinaland, WI 44398","Pittman, Watts and Fitzgerald",1
Michelle Holloway,49,12458.8,0,5.04,9,2013-1-21 13:44,"6431 Kimberly Harbors South Dylan, MS 05388-2846","Martinez, Clark and Jackson",1
Kenneth Bryant,47,7222.35,0,6.41,11,2015-6-27 10:57,"274 Randy Ports Apt. 228 Gomezside, KY 96667-1028",Davis and Sons,1
Cody Williams,38,11758.69,0,6.97,11,2016-8-14 18:04,USNS Lewis FPO AE 38853,"Farley, Clark and Peterson",1
Lori Ross,55,8772,1,6.43,10,2006-3-1 20:57,"65806 Dean Plaza Apt. 089 West Jacobfort, AR 83049","Butler, Harrison and Hall",1
David Montes,45,7351.38,0,5.76,11,2016-10-6 23:11,"666 Julie Ports Apt. 094 South Johntown, MO 10168-2804",Watson-Hall,1
Robin Rowe,30,7960.64,1,2.72,10,2016-4-15 12:08,"87953 Fuller Turnpike Apt. 510 Russellstad, MH 32784-9434","Bradley, Mejia and Williams",1
Amber Spears,41,13365.66,1,8.36,9,2008-7-26 3:00,"455 Garcia Via Suite 177 Lake Jefferyside, MN 81187",Gray Inc,1
Kathy Johnson,32,8617.98,1,6.2,10,2008-5-14 16:07,"570 Smith Mountains Hunterview, OK 46533",Jordan-Murphy,1
Thomas Rose,52,11849.13,0,6.8,11,2012-8-18 9:16,"9928 Lawson Court Andersonborough, KS 54353-7605","Lynch, Padilla and Myers",1
Sandra Williams,37,11145.95,1,5.87,11,2013-1-10 10:11,"0728 Melton Avenue Robertville, KY 71675-3667",Baker Ltd,1
Nathan Murphy,42,9577.42,0,5.86,11,2012-1-18 0:52,"34489 Andrew Wells North Charlesport, RI 48537",Deleon Ltd,1
Ryan Weaver,39,10110.4,1,5.78,13,2009-3-10 21:58,"8306 Nicole Lane Moranmouth, PR 36299","Keith, Richardson and Thomas",1
Jennifer King,43,8024.08,0,4.08,12,2016-2-20 7:00,"44850 Dennis Meadows Suite 044 Dariusland, IL 05918","Hunter, Reyes and Rivera",1
Theresa Berry,52,8563.24,0,5.29,11,2010-3-24 16:20,"1733 Theresa Port North Jason, WY 15864",Jones LLC,1
Robin Burke,40,9403.58,1,6.01,9,2014-7-31 1:07,"7225 James Corners Christopherville, OH 19625-4299",Patel PLC,1
Todd Thompson,38,12520.53,1,6.3,11,2008-10-19 9:18,"2779 Dalton Ports New James, AS 59322-0419","Guzman, Johnson and Berry",1
John Thomas,53,13655.59,1,2.05,10,2013-12-24 14:28,"342 Jensen Dam West Kylehaven, PW 89702-0398","Sanchez, Carter and Gross",1
Timothy Johnston,41,12680.46,0,5.92,11,2010-3-29 17:41,"44906 Walker Plaza Sanchezshire, AK 41013-8944","Cole, Shelton and Atkinson",1
Sarah Holloway,45,8429.65,1,7.1,10,2006-8-26 16:40,"099 Lopez Crescent Jamesport, OK 31273",Harrison-Ferrell,1
Scott Chambers,44,11424,1,5.98,10,2011-11-16 6:51,"9525 Allen Camp Apt. 362 West Dawnmouth, GA 04347","Davis, Cole and Thompson",1
Kathryn Ponce,46,13725.55,0,5.09,9,2006-3-4 0:11,"43798 Jones Garden Apt. 027 Monicashire, ND 82344","Cochran, Molina and Higgins",1
Patrick Robinson,47,7396.1,0,4.11,11,2014-3-10 6:51,"753 Sara Fall Lake Erinmouth, OK 02340-4525",Tran-Rodriguez,1
Laurie Green,51,8100.43,1,4.92,13,2006-1-14 1:47,"74631 Kyle Mountain Apt. 268 Andrewmouth, MI 55255","Callahan, Hinton and Murray",1
Amber Hobbs,43,10400.88,0,5.84,10,2013-3-28 20:04,"8044 Bates Spring Jonesborough, LA 63728","Nelson, Ray and Johnson",1
Tina King,40,8625.96,1,6.27,13,2008-8-7 1:50,"80203 Brandon Hill Apt. 353 New Luisport, VA 65076",Franco-Jones,1
David Hess,41,5192.38,1,4.86,11,2015-11-6 3:12,"PSC 1062, Box 1827 APO AA 46087-7414",Johnson-Walker,1
Jose Lee,45,12455.38,0,3.26,11,2015-2-24 14:54,"036 Hunter Heights Suite 701 New Rickey, HI 95539-9622",Nelson LLC,1
Brian Young,49,10522.21,0,7.25,14,2014-11-8 0:40,Unit 6711 Box 7964 DPO AA 27820,Munoz Ltd,1
Erica Flores,38,9624.18,0,5.53,12,2008-12-22 6:09,"421 Kevin Shoal Grahamport, RI 11504",Carey Ltd,1
Brenda Hall,37,11628.1,1,6.83,10,2010-2-20 16:08,"1877 Tara Streets West Sarah, MN 39500",Rosales Inc,1
Dakota Williams,41,13190.3,1,7.38,10,2012-9-12 14:15,"22194 Hernandez Roads Hubbardville, MH 97331-5191","Hughes, Evans and Richardson",1
Tammy Reed,49,13173.8,1,6.36,12,2007-10-9 18:07,"3067 Lindsay Road Apt. 683 Port Jonathan, NY 84626-8850",Russo-Rivas,1
Devin Cook,29,8688.17,1,5.7,9,2015-2-5 11:35,"237 Antonio Lock Lake Christianville, IN 42022",Fleming LLC,1
Joseph Mitchell,40,11434.61,1,8.51,10,2009-11-17 23:38,"3422 Zhang View Estradabury, SC 66970-2923",Lee LLC,1
Brett Allen MD,45,12309.39,1,4.57,11,2008-2-7 15:42,"03559 Rodriguez Prairie Apt. 826 Rachelfurt, ND 85441",Brown-Rangel,1
Daniel Bates,30,10744.14,1,7.16,9,2008-9-13 11:53,"488 Lewis Village Crawfordborough, WY 43563",Hunt PLC,1
Chelsea Ward,43,12104.25,0,5.86,7,2009-9-27 4:12,"5279 Grace Mountain Loriland, IL 83900","Hatfield, Johnson and George",1
Ryan Richardson,45,11599.27,1,4.78,11,2006-11-22 21:46,"31574 Sarah Pine Apt. 359 Harryside, NJ 02405-8870",Cross-Jones,1
Stephen Callahan,42,6635.19,0,6.68,11,2006-7-24 18:29,USS Booth FPO AP 73462,Shaw-Rivera,1
Mrs. Melinda Davila,51,10978.16,1,6.95,11,2013-8-10 2:49,"5843 Byrd Corner Monicaport, SC 44357",Perry and Sons,1
Carla Howell,44,13743.27,0,7.8,11,2011-6-11 0:48,"55353 Barker Burg East Willietown, HI 30805","Edwards, Webster and Gross",1
Eric Kelley,43,10271.19,1,5.31,14,2011-7-19 10:28,"98472 Meghan Mall Port Lauren, LA 49472","Santos, Hoffman and Harper",1
Randy Hayes,43,6715.23,0,4.16,8,2007-2-17 15:33,"PSC 1001, Box 5072 APO AP 43490",Taylor-Vaughn,1
Jeffrey Glenn,50,10199.44,0,5.79,9,2012-10-9 17:29,"6431 Caldwell Spring Port Gregorymouth, VI 76545-9829",Medina-Dominguez,1
Megan Tucker,38,11386.56,0,8.82,9,2011-11-20 17:11,"63080 Christopher Fork Suite 353 Jacobshire, TN 98279-1399",Taylor-Guerrero,1
Michael Acosta,49,12112.53,0,7.31,9,2012-3-3 18:57,"73511 James Skyway Apt. 750 Port Scott, FM 96780",Ward-Bennett,1
Eileen Reyes,34,9228.84,1,5.29,12,2006-11-25 12:38,"0235 Taylor Lakes Suite 365 East Michaelfort, AL 61409-7098",Curtis PLC,1
Mr. Jerome Dawson,36,6330.43,1,5.43,7,2010-8-24 0:52,"675 Jones Viaduct Samanthastad, MT 88716-7510",Oconnell LLC,1
Katie Sutton,40,11611.51,1,5.64,14,2010-6-19 16:02,"564 Amanda Park Apt. 388 Watsonport, NJ 61471-7559",Patrick Inc,1
Dr. Kylie Mccann,37,8397.41,0,5.59,12,2008-6-7 21:35,"150 Steven Center Port Randallshire, SC 42333-2817",Shepherd LLC,1
Jose Kelly,49,9714.47,0,5.7,9,2014-11-4 4:05,"205 Lewis Ports Suite 146 New Lukehaven, NE 61616","Fisher, Torres and Ramsey",1
Nicholas Levy,51,11602.11,1,5.3,10,2012-4-6 10:12,"668 Walker Trace Apt. 580 Samanthaside, FL 56884",Pruitt-Thompson,1
Jennifer Carrillo,35,12871.79,0,4.64,12,2006-3-25 1:04,"659 Robertson Lake Lake Peggy, CT 28993",Ingram-Swanson,1
April Freeman,41,9923.79,1,4.75,13,2011-8-28 3:41,"16914 Oconnell Forge Apt. 477 Atkinsonmouth, MD 32666","Larson, Ross and Ward",1
Hunter Rivera,26,8787.39,1,5.42,11,2014-12-18 19:58,"233 Mark Vista New Russellbury, FL 08810","Tate, Hall and Moreno",1
Travis Ellis,46,12200.31,0,6.62,10,2010-10-20 0:12,"730 Doris Drive Suite 569 Port Adam, KY 42352",Ramirez-Mendoza,1
Tommy Frey,38,8825.87,1,8.97,10,2008-1-6 9:57,"200 Craig Spur Suite 465 Wadeton, NC 47363",Garcia-Owens,1
Nicole Friedman,44,8615.52,0,7.39,9,2006-10-19 23:02,"77755 John River Kendrafurt, MP 02175-9994","Miranda, Summers and Moran",1
James Newman,35,9766.95,1,4.59,13,2008-2-29 14:17,"1317 Dillon Gardens Michaelville, ME 91569-7889","Griffin, Tucker and Lee",1
Stephanie Gonzales,36,11550.29,0,6.46,13,2014-1-13 5:18,"437 Alex Glens Melindaburgh, ID 78010-8240",Young-Dunn,1
Mary Aguilar,50,6244.75,0,4.64,11,2015-12-18 13:28,Unit 6345 Box 0137 DPO AP 41134-6292,Lee-Aguilar,1
Jordan Owens,45,9459.52,0,5.72,9,2015-7-30 2:34,"018 Kristy Mountain Lindseymouth, LA 51400",Reyes PLC,1
Devin Wilson,46,11222.48,0,4.92,9,2011-2-18 18:11,"97426 Carrie Stravenue East Cassandrafort, WV 23196",Cooke Ltd,1
Samantha Fisher,38,14693.45,1,7.01,10,2011-11-2 16:47,"961 Wright Plains Kimberlyborough, AL 59809","Morris, Owens and Sullivan",1
Monique Medina,49,15005.43,1,5.27,12,2012-7-27 0:30,"22013 Matthew Square Johnsonland, LA 27505-9242",Martin-Harris,1
Nathan Gross,42,10276.33,1,6.54,11,2007-7-1 5:53,"1136 Beasley Mountains Apt. 622 Smithton, UT 09411-9465","Robinson, Brown and Stephens",1
Douglas Joseph,44,8474.11,0,6.61,14,2012-10-1 8:10,Unit 9630 Box 8710 DPO AP 69319,Clark PLC,1
Elizabeth Moore,47,8235.74,1,6.2,10,2007-10-23 5:18,"582 Kimberly Lodge Apt. 082 East Victoriastad, NH 73555","Young, Porter and Hill",1
Adam Gomez,48,6495.01,1,5.57,12,2013-2-6 5:15,"2889 Coffey Parks Browningmouth, VT 14924-9744",Thompson Group,1
Timothy Harvey,45,8099.29,1,5.66,10,2008-6-10 14:07,"6596 Ronald Union West Courtney, ND 47185","Scott, Ward and Brown",1
Adam Strong,50,11775.75,1,4.83,10,2011-2-6 15:02,"33071 Melody Isle East Matthew, WV 08980-8853",Harvey-Mcdowell,1
Charles Whitney,39,8667.02,0,6.82,10,2009-10-23 10:27,"8006 Erin Pass Apt. 415 South Karen, LA 27331-0907",Christensen-Mccann,1
Lisa Davis,55,9000.31,1,6.78,10,2008-5-23 1:04,"PSC 5306, Box 1682 APO AP 03229",Obrien PLC,1
Jacob Escobar,50,14398.89,1,5.54,12,2007-11-13 17:10,"4182 Mercer Plains Apt. 624 New Lindsey, WA 84468",White-Dennis,1
Douglas Padilla,38,10863.05,1,5.59,11,2008-4-28 1:11,"063 Andrew Harbor New Kathleenbury, AR 48898",Martinez Ltd,1
Russell Bauer,38,7287.57,1,7.39,11,2007-4-22 6:22,"83221 Hendricks Highway Garciastad, OR 20046-4343",Chambers-Simmons,1
Jessica Horton,43,6992.09,1,6.84,11,2010-4-21 18:41,Unit 7652 Box 7117 DPO AP 06955-1878,Jackson Group,1
Alexis Hill,39,6351.79,0,5.86,6,2012-3-24 16:13,"335 Dyer Shoals Port Patricia, PR 84461-1647",Campbell and Sons,1
Heather Hickman,31,11297.57,1,6.23,10,2015-3-17 22:32,"7259 Brown Street Apt. 385 Monicaport, GU 05916-8374",Moore LLC,1
Steven Stevenson,52,7460.05,0,5.39,12,2013-10-17 21:48,"61756 Walls Ridges East James, IA 34568",George Inc,1
Hailey Sanchez,41,14429.41,1,5.51,11,2007-9-29 0:43,"78018 Ariana Crest Suite 467 North Tamara, IA 84527",Evans-Wagner,1
Randall Weber,34,12983.26,1,6.53,13,2007-10-14 20:54,"447 Lane Street Apt. 689 East Christopher, MI 80796","Torres, Villanueva and Velasquez",1
Anna Bryant,39,8801.86,1,4.43,10,2007-3-18 11:14,"30668 Isabella Freeway Suite 428 Lake Kellyhaven, MP 89074-5017",Bennett Inc,1
Robert Russo,58,9703.93,0,5.16,11,2010-3-2 16:11,"976 Thomas Garden Lake Chad, DC 12638-0139",Hanna-Leonard,1
Tara Burton,49,11177.08,0,4.44,12,2008-1-7 5:11,"713 William Loaf New Christopher, DC 71560-8742",Reed-Fields,1
Yvette Perry,41,8560.76,1,3.99,12,2015-5-9 18:48,"83457 Davis Flats Morachester, GU 52752",Moore and Sons,1
Michael Williams,35,15571.26,0,6.45,9,2011-12-2 20:13,"5728 Michael Rue Riosland, NY 38804-1415",Petty and Sons,0
Connie Golden,39,10268.87,1,3.68,6,2009-8-19 18:52,"3324 Gomez Knolls Suite 591 Farmerchester, LA 37647",Brown-Wagner,0
Seth Griffin,44,12328.03,1,4.6,9,2006-8-29 2:24,"9436 Warner Mill Suite 265 Port Kenneth, OH 00175-5756",Williams PLC,0
Rachel Cherry,52,9782.83,0,3.96,7,2012-4-17 10:47,"3479 Stewart Way Sandersside, ID 69317-8759","Bishop, Tran and Pope",0
Robert Sanders,29,9378.24,0,4.93,8,2015-8-6 22:29,"8199 Christopher Tunnel Suite 537 Warnerside, IN 29023-3624","White, Jones and Nelson",0
Chris Sutton,37,10314.67,1,5.86,8,2016-6-22 19:20,"858 Booth Points South Davidside, AZ 92136-1145",Collins Ltd,0
Kenneth Alexander,30,8403.78,1,4.13,7,2006-6-28 9:26,"032 Jorge Trail Apt. 091 Brianmouth, ID 23964",Torres Inc,0
Jason Taylor,46,5570.45,0,2.23,7,2012-5-1 6:20,"693 Kevin Groves Apt. 158 Debramouth, NV 73809","Moore, Nichols and Miller",0
Dennis Morgan,43,8042.76,0,4.95,8,2006-4-29 20:25,"00103 Jeffrey Crest Apt. 205 Padillaville, IA 90755","Barry, Jordan and Hall",0
Penny Perez,44,10309.15,1,6.35,9,2006-1-10 18:04,"725 Stephanie Springs Apt. 350 South Brianbury, MP 98006",Davis-Travis,0
Erin Gilbert,35,12357.31,0,5.03,10,2014-8-6 19:11,"7098 Vicki Lane Suite 339 South Dominic, NM 43022-5425","Ware, Williams and Hill",0
Sean Macias,47,11306.1,0,6.01,7,2006-7-2 23:47,"911 Kent Point Anthonytown, KS 47499",Jimenez Group,0
Christina Lewis,32,13630.93,0,4.38,10,2014-1-3 0:55,"273 Alexander Burg Suite 754 New Alexandrachester, DE 41261-1457","Thompson, Shelton and Pena",0
Lori Jackson,36,12284.58,1,5.7,9,2015-12-7 10:18,"19131 Robinson Mission Apt. 384 Smithview, AS 99303",Webb PLC,0
Mark Murray,39,8930.49,1,5.71,10,2014-12-10 9:22,"3444 Delgado Squares Apt. 967 Pageville, MI 59677",Lawson Inc,0
Dana Lewis,43,10578.14,0,1.87,10,2008-5-28 8:06,USNV Soto FPO AA 90235-3866,"Murphy, Park and Boyer",0
Dr. Michael Contreras,45,10364.82,0,5.93,5,2016-8-22 5:47,"53891 Paula Corners Apt. 946 West Michael, ME 42796-1668",Holt-Rogers,0
Rebecca Rasmussen,33,7750.54,1,4.57,8,2012-7-19 13:34,"PSC 2978, Box 1358 APO AP 49912-3876",Rodriguez-Flynn,0
Melanie Turner,48,10963.5,1,5.89,9,2008-3-7 10:48,"3987 Douglas Garden South Amanda, LA 99160-1676",Gates Ltd,0
Jeffery Ferguson,32,12547.91,0,7.78,10,2011-12-22 17:51,"1599 Rush Crescent Apt. 982 Bowmanchester, TX 33118-6129",Watts Ltd,0
Brenda Haley,41,14069.41,1,1.62,10,2010-10-14 7:46,USS Barr FPO AE 09092,Forbes LLC,0
William Taylor,44,9723.71,0,4.34,9,2012-6-30 10:01,"499 Contreras Estates Suite 640 Tylertown, NY 97261",Stewart Inc,0
William Lyons,43,6298.75,1,4.51,9,2015-3-26 0:41,"2758 Williams Heights Apt. 571 Colleenton, AK 36124-5765","Brown, Conner and Torres",0
Bobby Christian,35,12107.03,0,5.82,9,2011-3-12 7:37,"PSC 8568, Box 1611 APO AA 56585-0874","Freeman, Lam and Jenkins",0
Victoria Medina,43,11674.12,0,2.88,8,2012-10-24 2:46,"816 Jeremy Bridge Apt. 543 New Michelleville, VI 50678",Walters-Sanders,0
William Haney,56,12502.81,0,5.47,8,2007-8-9 17:54,"143 Andrea Flat Lake Michael, ID 33149","Powell, Erickson and Rush",0
Alan Gray,29,9617.59,0,5.49,8,2013-2-19 3:23,"9278 Jenna Ways Apt. 628 West Ryan, AZ 06819-5978",Mendoza Inc,0
Jessica Johnson,36,13472.79,1,4.77,8,2006-2-14 22:16,"PSC 8132, Box 3379 APO AA 45232-2030",Young and Sons,0
Joshua Tran,49,9805.7,0,4.86,9,2011-4-29 16:53,"7774 Gonzalez Camp Suite 326 Lake Nathan, CA 46393-3674",Harris Group,0
Lisa Harmon,31,11743.24,0,5.3,6,2010-6-6 5:12,"2190 Fox Mountains North Jennifer, WV 75027-6097",Le LLC,0
Stephen Jenkins,30,12788.37,0,4.31,10,2009-8-22 20:21,USNV Perry FPO AE 07826-0914,Everett-Taylor,0
Misty Tate,40,5218.49,0,3.8,10,2006-11-16 4:13,"12915 Jeffrey Canyon Blackshire, AS 18084",Soto PLC,0
Isaiah Noble,44,10526.18,0,7.67,9,2009-9-21 12:50,"08820 Foster Via Suite 564 Barkerview, ME 82495-3527",Taylor-Bradley,0
Jeff Davis,43,8583.5,1,4.39,10,2014-8-23 3:44,"115 Andrews Vista South Kristinchester, SD 82774-5194","Klein, Dalton and Doyle",0
Stacey Harding,39,11008,0,4.42,8,2007-12-22 13:07,"454 Sara Ways New Brandistad, AL 82361",Robinson-Koch,0
William Perkins,42,9625.89,1,5.84,9,2014-2-3 0:37,"54740 Jeffrey Place Apt. 914 Amandaland, MI 87447",Mills-Howe,0
James Contreras,46,11119.11,1,3.51,14,2008-12-8 9:23,"10454 David Greens South Jenniferbury, FM 87283-5336",Taylor-Robbins,0
Brian Morse,46,9982.55,1,4.75,7,2009-5-5 4:56,"7865 Gutierrez Expressway Suite 948 Tiffanyside, AR 59662-2367",Robinson Inc,0
